순위,영화명,감독,관객수,제작국가,장르,국적
227,스타워즈: 깨어난 포스,J.J. 에이브럼스,3273879,미국,"액션,어드벤처,판타지",미국
228,올드보이,박찬욱,3269000,한국,스릴러,한국
229,올드보이,박찬욱,3269000,한국,스릴러,한국
228,올드보이,박찬욱,3269000,미국,"액션,스릴러",한국
229,올드보이,박찬욱,3269000,미국,"액션,스릴러",한국
230,분노의 질주: 더 세븐,제임스 완,3247558,미국,"액션,범죄,스릴러",미국
231,터미네이터 제니시스,앨런 테일러,3239371,미국,"액션,어드벤처,SF,스릴러",미국
232,그래비티,알폰소 쿠아론,3227452,미국,"SF,드라마",미국
233,우주전쟁,스티븐 스필버그,3223000,미국,"드라마,액션,SF,스릴러",미국
234,마녀,박훈정,3189091,한국,"미스터리,액션",한국
235,마녀,박훈정,3189091,한국,"미스터리,액션",한국
234,마녀,박훈정,3189091,한국,"공포(호러),스릴러,드라마",한국
235,마녀,박훈정,3189091,한국,"공포(호러),스릴러,드라마",한국
236,어린 신부,김호준,3149500,한국,코미디,한국
237,오! 브라더스,김용화,3148748,한국,코미디,한국
238,탐정: 리턴즈,이언희,3148038,한국,"코미디,범죄",한국
239,"장화, 홍련",김지운,3146217,한국,공포(호러),한국
240,그놈 목소리,박진표,3143247,한국,"드라마,스릴러",한국
241,우리들의 행복한 시간,송해성,3132320,한국,드라마,한국
242,캐리비안의 해적: 낯선 조류,롭 마샬,3130046,미국,"액션,판타지",미국
243,퀵,조범구,3125069,한국,"코미디,액션",한국
244,감기,김성수,3119023,한국,"드라마,어드벤처,액션",한국
245,말죽거리 잔혹사,유하,3115767,한국,"액션,멜로/로맨스",한국
246,광복절 특사,김상진,3101900,한국,"드라마,코미디",한국
247,나우 유 씨 미 2,존 추,3100113,미국,"범죄,액션",미국
248,마파도,추창민,3090467,한국,코미디,한국
249,하모니,강대규,3068544,한국,드라마,한국
250,거북이 달린다,이연우,3059812,한국,"드라마,액션,범죄",한국
251,너는 내 운명,박진표,3051134,한국,멜로/로맨스,한국
252,캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",3049894,미국,"액션,어드벤처,판타지,코미디",미국
253,스물,이병헌,3044134,한국,"코미디,드라마",한국
254,토르: 다크 월드,앨런 테일러,3039889,미국,"액션,어드벤처,판타지",미국
255,식객,전윤수,3038868,한국,드라마,한국
256,방자전,김대우,3035116,한국,"사극,코미디,멜로/로맨스",한국
257,인크레더블 2,브래드 버드,3033052,미국,"애니메이션,액션,어드벤처,코미디,가족",미국
258,하울의 움직이는 성,미야자키 하야오,3015165,일본,애니메이션,일본
259,마더,봉준호,3013523,한국,드라마,한국
260,마더,봉준호,3013523,한국,드라마,한국
259,마더,봉준호,3013523,영국,드라마,한국
260,마더,봉준호,3013523,영국,드라마,한국
261,투모로우,롤랜드 에머리히,3006400,미국,SF,미국
262,레드: 더 레전드,딘 패리소트,3004647,미국,"액션,코미디,범죄",미국
263,해리 포터와 혼혈 왕자,데이빗 예이츠,3002669,미국,"어드벤처,액션,가족",미국
264,오싹한 연애,황인호,3001530,한국,"공포(호러),멜로/로맨스,코미디",한국
265,드래곤 길들이기 2,딘 데블로이스,3000056,미국,"애니메이션,액션,어드벤처",미국
266,황금 나침반,크리스 웨이츠,2979838,미국,"판타지,드라마,액션,어드벤처",미국
267,형,권수경,2979659,한국,"코미디,드라마",한국
268,친구 2,곽경택,2971475,한국,액션,한국
269,26년,조근현,2963449,한국,"액션,드라마",한국
270,워낭소리,이충렬,2962897,한국,다큐멘터리,한국
271,공조,김성훈,2957330,한국,액션,한국
272,서치,아니쉬 차간티,2949944,미국,드라마,미국
273,고지전,장훈,2945137,한국,"드라마,전쟁",한국
274,엑스맨: 아포칼립스,브라이언 싱어,2938818,미국,"액션,어드벤처,판타지,SF",미국
275,프리즌,나현,2931897,한국,"범죄,액션",한국
276,솔트,필립 노이스,2921331,미국,"스릴러,액션",미국
277,가장 보통의 연애,김한결,2917213,한국,"멜로/로맨스,코미디",한국
278,헬로우 고스트,김영탁,2897477,한국,"코미디,드라마",한국
279,귀신이 산다,김상진,2890000,한국,"코미디,공포(호러),판타지",한국
280,원티드,티무르 베크맘베토브,2867594,미국,"스릴러,액션",미국
281,극비수사,곽경택,2860786,한국,"드라마,범죄",한국
282,슈렉3,"크리스 밀러,라맨 허",2844159,미국,"애니메이션,코미디,어드벤처,가족,판타지",미국
283,표적,창,2841788,한국,"액션,드라마",한국
284,앤트맨,페이튼 리드,2839921,"미국,영국","액션,SF",미국
285,호빗: 다섯 군대 전투,피터 잭슨,2836774,"미국,뉴질랜드","어드벤처,판타지",미국
286,너의 결혼식,이석근,2820029,한국,멜로/로맨스,한국
287,호빗: 뜻밖의 여정,피터 잭슨,2818993,"미국,뉴질랜드","어드벤처,판타지",미국
288,말모이,엄유나,2812444,한국,드라마,한국
289,메이즈 러너,웨스 볼,2812427,미국,"액션,미스터리,SF,스릴러",미국
290,해리 포터와 죽음의 성물1,데이빗 예이츠,2809053,미국,"미스터리,판타지",미국
291,빅 히어로,"돈 홀,크리스 윌리암스",2801949,미국,"애니메이션,액션,코미디",미국
292,덩케르크,크리스토퍼 놀란,2792705,"미국,영국","액션,드라마,스릴러,전쟁",미국
293,혹성탈출: 진화의 시작,루퍼트 와이어트,2773794,미국,"액션,SF,드라마",미국
294,황산벌,이준익,2771236,한국,코미디,한국
295,부당거래,류승완,2766436,한국,"범죄,드라마",한국
296,1번가의 기적,윤제균,2750457,한국,"드라마,코미디",한국
297,메이즈 러너: 스코치 트라이얼,웨스 볼,2744413,미국,"액션,SF,스릴러",미국
298,가디언즈 오브 갤럭시 VOL. 2,제임스 건,2735719,미국,"액션,SF",미국
299,시라노; 연애조작단,김현석,2731828,한국,"멜로/로맨스,코미디",한국
300,핸콕,피터 버그,2723518,미국,"액션,드라마,코미디",미국
301,내가 살인범이다,정병길,2721903,한국,"액션,스릴러",한국
302,나우 유 씨 미 : 마술사기단,루이스 리테리어,2718227,미국,"범죄,액션,스릴러",미국
303,미스 페레그린과 이상한 아이들의 집,팀 버튼,2718158,"미국,벨기에,영국","미스터리,판타지",미국
304,적벽대전 2 : 최후의 결전,오우삼,2713031,중국,"액션,전쟁,드라마,사극",중국
305,지.아이.조 : 전쟁의 서막,스티븐 소머즈,2706748,미국,액션,미국
306,타이탄,루이스 리테리어,2685508,미국,"액션,어드벤처,판타지",미국
307,곤지암,정범식,2675559,한국,"공포(호러),스릴러",한국
308,소원,이준익,2663170,한국,드라마,한국
309,살인자의 기억법,원신연,2656694,한국,"범죄,스릴러",한국
310,브레이킹 던 part2,빌 콘돈,2654817,미국,"드라마,판타지,멜로/로맨스",미국
311,탐정 : 더 비기닝,김정훈,2625686,한국,"코미디,범죄",한국
312,미니언즈,"피에르 꼬팽,카일 발다",2625572,미국,애니메이션,미국
313,후궁 : 제왕의 첩,김대승,2621436,한국,"사극,멜로/로맨스",한국
314,트랜스포머: 최후의 기사,마이클 베이,2614601,미국,"액션,어드벤처,SF",미국
315,제이슨 본,폴 그린그래스,2611966,미국,"액션,스릴러",미국
316,드래곤 길들이기,딘 데블로이스,2603857,미국,"애니메이션,코미디,어드벤처,가족",미국
317,지금 만나러 갑니다,이장훈,2602273,한국,멜로/로맨스,한국
318,도리를 찾아서,앤드류 스탠튼,2601734,미국,"애니메이션,어드벤처,코미디",미국
319,위험한 상견례,김진영,2595625,한국,"코미디,멜로/로맨스",한국
320,아수라,김성수,2594028,한국,"범죄,액션",한국
321,아수라,김성수,2594028,한국,"범죄,액션",한국
320,아수라,김성수,2594028,일본,"애니메이션,공포(호러)",한국
321,아수라,김성수,2594028,일본,"애니메이션,공포(호러)",한국
322,굿모닝 프레지던트,장진,2583294,한국,"코미디,드라마",한국
323,음란서생,김대우,2576022,한국,"사극,코미디",한국
324,보안관,김형주,2571491,한국,"범죄,코미디",한국
325,내 머리 속의 지우개,이재한,2565078,한국,멜로/로맨스,한국
326,기술자들,김홍선,2564340,한국,"범죄,액션",한국
327,퍼시픽 림,길예르모 델 토로,2539114,미국,"액션,SF,어드벤처",미국
328,내 생애 가장 아름다운 일주일,민규동,2533103,한국,멜로/로맨스,한국
329,엑스맨: 퍼스트 클래스,매튜 본,2532306,미국,액션,미국
330,정글북,존 파브로,2532051,인도,애니메이션,미국
331,정글북,존 파브로,2532051,인도,애니메이션,미국
330,정글북,존 파브로,2532051,미국,"어드벤처,드라마",미국
331,정글북,존 파브로,2532051,미국,"어드벤처,드라마",미국
332,해리포터와 아즈카반의 죄수,알폰소 쿠아론,2532000,미국,드라마,미국
333,목격자,조규장,2524086,러시아,"공포(호러),미스터리",한국
334,목격자,조규장,2524086,러시아,"공포(호러),미스터리",한국
335,목격자,조규장,2524086,러시아,"공포(호러),미스터리",한국
333,목격자,조규장,2524086,"미국,독일","미스터리,범죄",한국
334,목격자,조규장,2524086,"미국,독일","미스터리,범죄",한국
335,목격자,조규장,2524086,"미국,독일","미스터리,범죄",한국
333,목격자,조규장,2524086,한국,스릴러,한국
334,목격자,조규장,2524086,한국,스릴러,한국
335,목격자,조규장,2524086,한국,스릴러,한국
336,패션 오브 크라이스트,멜 깁슨,2523700,미국,드라마,미국
337,마이펫의 이중생활,크리스 리노드,2517805,미국,"애니메이션,코미디,가족",미국
338,증인,이한,2516128,한국,드라마,한국
339,조작된 도시,박광현,2512572,한국,"범죄,액션",한국
340,"나니아 연대기-사자,마녀 그리고 옷장",앤드류 아담슨,2505133,미국,"가족,어드벤처,판타지",미국
341,터미네이터 3,조나단 모스토우,2491354,미국,"SF,액션,범죄",미국
342,우리 형,안권태,2479585,한국,드라마,한국
343,박수칠 때 떠나라,장진,2475291,한국,"드라마,코미디,미스터리",한국
344,선생 김봉두,장규성,2472135,한국,코미디,한국
345,반창꼬,정기훈,2471721,한국,멜로/로맨스,한국
346,블랙머니,정지영,2465678,한국,"범죄,드라마",한국
347,보스 베이비,톰 맥그라스,2450023,미국,"애니메이션,코미디,가족",미국
348,화차,변영주,2435211,한국,미스터리,한국
