,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
4135,피아니스트 세이모어의 뉴욕 소네트,에단 호크,2016-04-07,미국,18,22466,전체,다큐멘터리,2016,4,0
4136,프로스트 VS 닉슨,론 하워드,2009-03-05,미국,76,22464,12세이상,드라마,2009,3,0
4137,송 투 송,테렌스 맬릭,2017-07-26,미국,97,22453,19세이상,드라마,2017,7,0
4138,이스케이프 게임,보그다나 베라 로렌츠,2019-10-11,독일,2,22451,15세이상,스릴러,2019,10,0
4139,애비규환,최하나,2020-11-12,한국,453,22436,12세이상,드라마,2020,11,0
4140,세컨핸드 라이온스,팀 맥칸라이즈,2005-05-19,미국,0,22413,12세이상,드라마,2005,5,0
4141,마징가 Z: 인피니티,시미즈 준지,2018-05-17,일본,332,22407,12세이상,애니메이션,2018,5,0
4143,스킵트레이스: 합동수사,레니 할린,2016-08-31,홍콩,244,22350,15세이상,액션,2016,8,0
4144,미스터 스마일,데이빗 로워리,2018-12-27,미국,56,22348,15세이상,드라마,2018,12,0
4145,아홉 스님,윤성준,2020-05-27,한국,141,22330,전체,드라마,2020,5,0
4146,엘리제궁의 요리사,크리스티앙 뱅상,2015-03-19,프랑스,112,22173,12세이상,코미디,2015,3,0
4147,파워배틀 와치카: 와치가면의 역습,이영준,2017-06-01,한국,246,22110,전체,애니메이션,2017,6,0
4148,크로우즈 제로,미이케 다카시,2008-07-02,일본,252,22097,15세이상,스릴러,2008,7,0
4149,엔들리스 러브,샤나 페스트,2014-03-13,미국,210,22091,15세이상,드라마,2014,3,0
4150,사이비,연상호,2013-11-21,한국,76,22070,19세이상,애니메이션,2013,11,0
4151,드래곤볼 Z : 부활의 F,야마무로 타다요시,2015-10-01,일본,76,22025,전체,애니메이션,2015,10,0
4152,까밀 리와인드,노에미 르보브스키,2013-07-18,프랑스,27,22006,15세이상,드라마,2013,7,0
4153,솔라리스,스티븐 소더버그,2003-04-18,미국,0,22000,12세이상,SF,2003,4,0
4154,아이 캔 온리 이매진,앤드류 어윈,2018-06-21,미국,156,21978,12세이상,드라마,2018,6,0
4155,터닝메카드W: 반다인의 비밀 특별판,홍헌표,2018-02-08,한국,168,21947,전체,애니메이션,2018,2,0
4156,천하무적 키코리키,데니스 체르노프,2014-07-17,러시아,186,21889,전체,애니메이션,2014,7,0
4157,원더 휠,우디 앨런,2018-01-25,미국,140,21884,15세이상,드라마,2018,1,0
4158,이스턴 프라미스,데이빗 크로넨버그,2008-12-11,미국,15,21857,19세이상,드라마,2008,12,0
4159,씨노이블,그레고리 다크,2007-06-28,미국,0,21854,19세이상,공포(호러),2007,6,0
4160,행복 목욕탕,나카노 료타,2017-03-23,일본,103,21797,12세이상,가족,2017,3,0
4161,마리 퀴리,마르잔 사트라피,2020-11-18,프랑스,484,21736,15세이상,드라마,2020,11,0
4162,숲속왕국의 꿀벌 여왕,아르나드 부롱,2019-03-14,프랑스,372,21732,전체,애니메이션,2019,3,0
4163,레이드 : 첫번째 습격,가렛 에반스,2012-05-17,인도네시아,120,21705,19세이상,액션,2012,5,0
4164,시크릿 인 데어 아이즈,빌리 레이,2016-04-27,미국,186,21692,15세이상,미스터리,2016,4,0
4165,히야,김지연,2016-03-10,한국,124,21687,12세이상,드라마,2016,3,0
4166,아스테릭스: 미션 올림픽 게임,프레더릭 포레스티에,2009-06-18,프랑스,115,21678,12세이상,코미디,2009,6,0
4167,"안녕, 나의 소울메이트",증국상,2017-12-07,홍콩,165,21659,15세이상,드라마,2017,12,0
4168,클림트,라울 루이즈,2006-06-29,독일,0,21647,18세이상,드라마,2006,6,0
4169,인베이젼 2020,표도르 본다르추크,2020-07-01,러시아,354,21609,12세이상,SF,2020,7,0
4170,차일드 44,다니엘 에스피노사,2015-05-28,미국,145,21604,19세이상,스릴러,2015,5,0
4171,내게 남은 사랑을,진광교,2017-11-02,한국,156,21599,12세이상,드라마,2017,11,0
4172,나쁜 교육,페드로 알모도바르,2004-09-17,스페인,0,21586,18세이상,드라마,2004,9,0
4173,빌리 엘리어트 뮤지컬 라이브,스티븐 달드리,2014-11-27,미국,37,21571,전체,뮤지컬,2014,11,0
4174,무문관,박대원,2018-04-19,한국,43,21506,전체,다큐멘터리,2018,4,0
4175,초속5센티미터,신카이 마코토,2007-06-21,일본,3,21448,전체,애니메이션,2007,6,0
4176,초원의 왕 도제,코지마 마사유키,2014-03-27,일본,192,21424,전체,애니메이션,2014,3,0
4177,아마조니아,티에리 라고베르트,2015-08-05,프랑스,105,21318,전체,다큐멘터리,2015,8,0
4178,그랑블루 리마스터링 감독판,뤽 베송,2013-07-25,프랑스,34,21306,15세이상,멜로/로맨스,2013,7,0
4179,이브 생 로랑,자릴 레스페르,2014-06-26,프랑스,53,21280,19세이상,드라마,2014,6,0
4180,죄 많은 소녀,김의석,2018-09-13,한국,70,21243,15세이상,드라마,2018,9,0
4181,"지금, 이대로가 좋아요",부지영,2009-04-23,한국,10,21212,15세이상,드라마,2009,4,0
4182,피노키오,로베르토 베니니,2003-07-16,이탈리아,0,21200,전체,가족,2003,7,0
4183,리즈와 파랑새,야마다 나오코,2018-10-09,일본,214,21153,전체,애니메이션,2018,10,0
4184,휘트니,케빈 맥도널드,2018-08-23,미국,80,21094,15세이상,드라마,2018,8,0
4185,플레이스 비욘드 더 파인즈,데릭 시엔프랜스,2013-08-01,미국,30,21088,19세이상,범죄,2013,8,0
4186,스테이션 7,클림 시펜코,2017-12-07,러시아,239,21071,12세이상,액션,2017,12,0
4187,폼포코 너구리 대작전,다카하타 이사오,2005-04-28,일본,0,21061,전체,애니메이션,2005,4,0
4188,유고와 라라 : 신비의 숲 어드벤처,왕운비,2014-10-02,중국,167,21053,전체,애니메이션,2014,10,0
4189,다이노 헌터: 티렉스VS파키리노 대격돌,닐 나이팅게일,2018-05-17,영국,168,20979,전체,애니메이션,2018,5,0
4190,스테이지 뷰티,리차드 이어,2007-10-03,영국,0,20976,19세이상,드라마,2007,10,0
4191,싸이보그 그녀,곽재용,2009-05-14,한국,112,20975,12세이상,코미디,2009,5,0
4192,그랜드 피아노,유지니오 미라,2014-04-17,스페인,95,20961,15세이상,스릴러,2014,4,0
4193,남매의 여름밤,윤단비,2020-08-20,한국,133,20945,전체,드라마,2020,8,0
4194,연을 쫓는 아이,마크 포스터,2008-03-13,미국,28,20896,12세이상,드라마,2008,3,0
4195,아기기린 자라파,레미 베잔송,2013-02-14,프랑스,87,20811,전체,애니메이션,2013,2,0
4196,나쁜 나라,김진열,2015-12-03,한국,19,20803,12세이상,다큐멘터리,2015,12,0
4197,미치고 싶을 때,파티 아킨,2004-11-12,독일,0,20798,18세이상,드라마,2004,11,0
4198,콜링 인 러브,제임스 도드슨,2010-03-25,미국,68,20796,15세이상,멜로/로맨스,2010,3,0
4199,유령선,김지영,2020-04-15,한국,165,20784,12세이상,다큐멘터리,2020,4,0
4200,워리어,게빈 오코너,2011-11-02,미국,142,20702,15세이상,드라마,2011,11,0
4201,"키리쿠, 키리쿠",미셸 오슬로,2006-05-04,프랑스,0,20644,전체,애니메이션,2006,5,0
4202,호밀밭의 반항아,대니 스트롱,2018-10-18,미국,68,20631,12세이상,드라마,2018,10,0
4203,날아라 펭귄,임순례,2009-09-24,한국,45,20599,전체,드라마,2009,9,0
4204,리노,라파엘 리바스,2019-03-07,브라질,322,20513,전체,애니메이션,2019,3,0
4205,플라이트,로버트 저메키스,2013-02-28,미국,79,20491,19세이상,드라마,2013,2,0
4206,배틀로얄 2 - 레퀴엠,후카사쿠 킨지,2004-04-09,일본,0,20488,15세이상,액션,2004,4,0
4207,초코초코 대작전,하마나 타카유키,2009-05-01,일본,35,20463,전체,애니메이션,2009,5,0
4208,세기의 매치,에드워드 즈윅,2016-01-28,미국,187,20448,12세이상,드라마,2016,1,0
4209,프란츠,프랑수아 오종,2017-07-20,프랑스,47,20437,12세이상,멜로/로맨스,2017,7,0
4210,은하수를 여행하는 히치하이커를 위한 안내서,가스 제닝스,2005-08-26,미국,0,20430,전체,SF,2005,8,0
4211,토너먼트,스콧 만,2010-09-02,영국,31,20427,19세이상,액션,2010,9,0
4212,불량공주 모모코,나카시마 테츠야,2005-09-02,일본,0,20388,15세이상,드라마,2005,9,0
4213,세브란스,크리스토퍼 스미스,2007-11-08,영국,0,20380,19세이상,공포(호러),2007,11,0
4215,브로큰 플라워,짐 자무시,2005-12-08,미국,0,20323,18세이상,코미디,2005,12,0
4217,어크로스 더 유니버스,줄리 테이머,2008-02-14,미국,4,20259,15세이상,멜로/로맨스,2008,2,0
4218,로얄 어페어,니콜라이 아르셀,2012-12-27,덴마크,17,20258,19세이상,멜로/로맨스,2012,12,0
4219,오토기리소우,시모야마 텐,2004-04-23,일본,0,20199,15세이상,공포(호러),2004,4,0
4220,바그다드 카페 : 디렉터스컷,퍼시 애들론,2016-07-14,독일,59,20195,15세이상,코미디,2016,7,0
4221,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,방형우,2014-08-07,한국,91,20175,전체,애니메이션,2014,8,0
4222,쏘우-여섯번의 기회,케빈 그루터트,2010-01-07,미국,52,20116,19세이상,공포(호러),2010,1,0
4223,천안함 프로젝트,백승우,2013-09-05,한국,33,20085,12세이상,다큐멘터리,2013,9,0
4224,미드 90,조나 힐,2019-09-25,미국,107,20069,19세이상,드라마,2019,9,0
4225,완전 소중한 사랑,김진민,2013-11-21,한국,66,20063,12세이상,드라마,2013,11,0
4226,난 그녀와 키스했다,막심 고바레,2015-07-22,프랑스,53,20056,19세이상,코미디,2015,7,0
4227,파수꾼,윤성현,2011-03-03,한국,20,20041,15세이상,드라마,2011,3,0
4229,맨츄리안 캔디데이트,조나단 드미,2005-03-11,미국,0,20000,15세이상,스릴러,2005,3,0
4230,극장판 어드벤처 타임: 비밀의 아일랜드,엘리자베스 이토,2017-04-13,미국,125,19986,전체,애니메이션,2017,4,0
4231,빌리 진 킹: 세기의 대결,발레리 페리스,2017-11-16,미국,135,19952,15세이상,코미디,2017,11,0
4232,러브레이스,롭 엡스타인,2013-10-17,미국,154,19933,19세이상,드라마,2013,10,0
4233,에이트 빌로우,프랭크 마샬,2006-04-06,미국,0,19922,전체,어드벤처,2006,4,0
4234,60만번의 트라이,박사유,2014-09-18,한국,76,19919,12세이상,다큐멘터리,2014,9,0
4235,나의 히어로 아카데미아 더 무비: 두 명의 히어로,나가사키 켄지,2019-05-16,일본,85,19917,전체,애니메이션,2019,5,0
4237,세상의 끝까지 21일,로렌 스카파리아,2013-08-14,미국,25,19897,15세이상,드라마,2013,8,0
4238,"화성아이, 지구아빠",메노 메이제스,2008-02-14,미국,16,19856,전체,코미디,2008,2,0
4239,카메라를 멈추면 안 돼!,우에다 신이치로,2018-08-23,일본,57,19846,15세이상,공포(호러),2018,8,0
4241,첫눈,한상희,2007-11-01,한국,0,19734,12세이상,드라마,2007,11,0
4242,파괴자들,올리버 스톤,2012-10-31,미국,171,19716,19세이상,스릴러,2012,10,0
4246,울지마 톤즈 2 : 슈크란 바바,강성옥,2020-01-09,한국,232,19632,전체,다큐멘터리,2020,1,0
4247,커플 테라피: 대화가 필요해,피터 빌링슬레이,2010-02-25,미국,66,19623,15세이상,코미디,2010,2,0
4248,더 킹: 헨리 5세,데이비드 미쇼,2019-10-23,네덜란드,146,19610,19세이상,드라마,2019,10,0
4249,극장판 가면라이더 이그제이드: 트루 엔딩,나카자와 쇼지로,2018-10-09,일본,326,19598,전체,액션,2018,10,0
4250,판타스틱 Mr. 폭스,웨스 앤더슨,2009-12-24,미국,11,19590,전체,애니메이션,2009,12,0
4251,웨딩스캔들,신동엽,2012-09-06,한국,121,19569,15세이상,코미디,2012,9,0
4252,칠드런 오브 맨,알폰소 쿠아론,2016-09-22,영국,56,19548,15세이상,SF,2016,9,0
4253,픽시,바시코 베도슈빌리,2018-08-23,러시아,268,19508,전체,애니메이션,2018,8,0
4254,D-day-어느날 갑자기 세번째 이야기,김은경,2006-08-03,한국,0,19488,15세이상,공포(호러),2006,8,0
4255,물의 기억,진재운,2019-05-15,한국,108,19484,전체,다큐멘터리,2019,5,0
4256,디스커넥트,헨리 알렉스 루빈,2013-11-07,미국,113,19460,19세이상,드라마,2013,11,0
4257,B급 며느리,선호빈,2018-01-17,한국,56,19459,12세이상,다큐멘터리,2018,1,0
4258,스페이스 독 2,이나 예블라니코바,2014-12-11,러시아,108,19445,전체,애니메이션,2014,12,0
4259,사랑도 흥정이 되나요?,베르트랑 블리에,2006-07-27,프랑스,0,19434,18세이상,코미디,2006,7,0
4260,"나의 위대한 친구, 세잔",다니엘르 톰슨,2016-12-15,프랑스,49,19426,15세이상,드라마,2016,12,0
4261,사막에서 연어낚시,라세 할스트롬,2014-10-16,영국,92,19423,12세이상,드라마,2014,10,0
4262,지구공룡대탐험,데이빗 크렌츠,2019-08-15,미국,265,19419,전체,애니메이션,2019,8,0
4263,테이크다운,에란 크리비,2013-04-18,영국,138,19415,15세이상,액션,2013,4,0
4264,립반윙클의 신부,이와이 슌지,2016-09-28,일본,85,19412,15세이상,드라마,2016,9,0
4265,커터,정희성,2016-03-30,한국,199,19405,19세이상,범죄,2016,3,0
4266,마릴린 먼로와 함께한 일주일,사이먼 커티스,2012-02-29,영국,81,19387,15세이상,드라마,2012,2,0
4267,트립 투 이탈리아,마이클 윈터바텀,2015-06-04,영국,51,19376,15세이상,코미디,2015,6,0
4268,플래닛 테러,로버트 로드리게즈,2008-07-02,미국,111,19324,19세이상,액션,2008,7,0
4269,트루스,제임스 밴더빌트,2016-08-24,미국,123,19315,15세이상,드라마,2016,8,0
4270,이레셔널 맨,우디 앨런,2016-07-21,미국,40,19287,19세이상,범죄,2016,7,0
4271,부니베어: 나무 도둑의 습격,정량,2017-09-14,중국,245,19267,전체,애니메이션,2017,9,0
4272,뱅드림! 필름 라이브,우메츠 토모미,2019-09-26,일본,78,19264,전체,애니메이션,2019,9,0
4273,달팽이의 별,이승준,2012-03-22,한국,34,19252,전체,다큐멘터리,2012,3,0
4275,레토,키릴 세레브렌니코프,2019-01-03,러시아,112,19221,15세이상,드라마,2019,1,0
4276,엘 시크레토 : 비밀의 눈동자,후안 호세 캄파넬라,2010-11-11,아르헨티나,10,19214,15세이상,드라마,2010,11,0
4277,소녀,최진성,2013-11-07,한국,73,18996,19세이상,멜로/로맨스,2013,11,0
4281,애프터 러브,파우스토 브리찌,2010-01-21,이탈리아,13,18966,19세이상,멜로/로맨스,2010,1,0
4283,슈퍼처방전,대니 분,2014-12-10,프랑스,144,18919,12세이상,코미디,2014,12,0
4284,내겐 너무 사랑스러운 그녀,크레이그 질레스피,2008-03-20,미국,20,18883,15세이상,코미디,2008,3,0
4285,상실의 시대,트란 안 홍,2011-04-21,일본,53,18872,19세이상,드라마,2011,4,0
4286,어제 일은 모두 괜찮아,이성한,2019-11-21,한국,87,18851,15세이상,드라마,2019,11,0
4287,토마스와 친구들 - 극장판 3,그렉 티어넌,2011-05-05,영국,110,18845,전체,애니메이션,2011,5,0
4288,누구에게나 찬란한,임유철,2014-11-06,한국,51,18804,전체,다큐멘터리,2014,11,0
4289,강호,황정보,2004-10-22,홍콩,0,18800,18세이상,액션,2004,10,0
4290,프란치스코,베다 도캄포 페이주,2016-03-10,스페인,184,18799,12세이상,드라마,2016,3,0
4291,여행자,우니 르콩트,2009-10-29,한국,59,18797,12세이상,드라마,2009,10,0
4292,씨비스킷,게리 로스,2003-11-21,미국,0,18793,12세이상,드라마,2003,11,0
4293,돼지의 왕,연상호,2011-11-03,한국,22,18769,19세이상,애니메이션,2011,11,0
4294,슬립리스: 크리미널 나이트,바란 보 오다르,2017-03-08,미국,158,18740,15세이상,액션,2017,3,0
4295,웨일 라이더,니키 카로,2004-10-08,뉴질랜드,0,18723,전체,드라마,2004,10,0
4296,드라이브,니콜라스 윈딩 레픈,2011-11-17,미국,76,18715,19세이상,액션,2011,11,0
4297,로렌스 애니웨이,자비에 돌란,2013-12-19,캐나다,27,18705,15세이상,멜로/로맨스,2013,12,0
4298,미스 스티븐스,줄리아 하트,2019-05-02,미국,64,18652,12세이상,드라마,2019,5,0
4299,숏버스,존 카메론 밋첼,2009-03-12,미국,51,18621,19세이상,드라마,2009,3,0
4300,퀸 락 몬트리올,솔 스위머,2009-07-30,영국,6,18545,전체,다큐멘터리,2009,7,0
4301,방울토마토,정영배,2008-05-29,한국,83,18533,12세이상,가족,2008,5,0
4302,꼬마영웅 바비,지안밍 후앙,2018-05-30,중국,317,18509,전체,애니메이션,2018,5,0
4303,비기너스,마이크 밀스,2011-11-10,미국,11,18489,15세이상,드라마,2011,11,0
4304,섬. 사라진 사람들,이지승,2016-03-03,한국,206,18485,15세이상,스릴러,2016,3,0
4305,원 위크,마이클 맥고완,2009-09-24,캐나다,17,18454,12세이상,드라마,2009,9,0
4306,그 후,홍상수,2017-07-06,한국,168,18440,19세이상,드라마,2017,7,0
4307,연애,오석근,2005-12-09,한국,0,18383,18세이상,드라마,2005,12,0
4308,아이 앰 히스 레저,아드리안 부이텐후이스,2017-10-19,캐나다,139,18367,12세이상,다큐멘터리,2017,10,0
4309,팻 걸,까트린느 브레이야,2004-08-20,프랑스,0,18351,18세이상,드라마,2004,8,0
4310,마법경찰 갈갈이와 옥동자,이한열,2004-02-13,한국,0,18346,전체,코미디,2004,2,0
4311,다음 침공은 어디?,마이클 무어,2016-09-08,미국,32,18342,15세이상,다큐멘터리,2016,9,0
4312,비포 : 치즈와 초콜릿을 찾아서,이도 엔젤,2014-07-10,이스라엘,90,18310,전체,애니메이션,2014,7,0
4313,강철비2 : 정상회담 확장판,양우석,2020-09-30,한국,126,18306,15세이상,드라마,2020,9,0
4314,무민 더 무비,자비에 피카르,2015-08-13,핀란드,161,18254,전체,애니메이션,2015,8,0
4316,쿼바디스,김재환,2014-12-10,한국,15,18248,12세이상,다큐멘터리,2014,12,0
4317,신서유기 : 몽키킹의 부활,텐 샤오펑,2017-11-02,중국,212,18247,전체,액션,2017,11,0
4318,액슬,올리버 달리,2018-10-18,미국,149,18219,12세이상,액션,2018,10,0
4320,레인,아그네스 자우이,2009-07-09,프랑스,18,18186,12세이상,코미디,2009,7,0
4321,은혼,후쿠다 유이치,2017-12-07,일본,137,18172,12세이상,액션,2017,12,0
4322,스페이스 치킨: 마법 부적의 비밀,알렉스 오렐,2018-10-25,미국,273,18169,전체,애니메이션,2018,10,0
4323,이디야와 얼음왕국의 전설,낸시 플로렌스 사바드,2014-02-27,캐나다,136,18157,전체,애니메이션,2014,2,0
4325,한경직,천정훈,2012-09-13,한국,7,18113,전체,다큐멘터리,2012,9,0
4326,프랑스여자,김희정,2020-06-04,한국,244,18106,15세이상,드라마,2020,6,0
4327,비비안 마이어를 찾아서,존 말루프,2015-04-30,미국,36,18061,전체,다큐멘터리,2015,4,0
4328,하늘과 바다,오달균,2009-10-28,한국,186,18059,12세이상,드라마,2009,10,0
4329,리그레션,알레한드로 아메나바르,2015-10-15,스페인,143,18057,15세이상,스릴러,2015,10,0
4330,버스 657,스콧 만,2016-01-14,미국,161,18042,15세이상,액션,2016,1,0
4331,인카네이트,브래드 페이튼,2017-05-25,미국,229,18028,15세이상,스릴러,2017,5,0
4332,초(민망한)능력자들,그랜트 헤스로브,2011-07-07,미국,64,18023,12세이상,코미디,2011,7,0
4333,본타: 땅콩왕국의 전설,레오 리,2014-10-30,중국,179,18022,전체,애니메이션,2014,10,0
4334,옐로우버드,도미니크 몽페리,2015-02-18,프랑스,127,18020,전체,애니메이션,2015,2,0
4335,캡틴 하록,아라마키 신지,2014-01-16,일본,120,17977,12세이상,애니메이션,2014,1,0
4336,오즈의 마법사 2,알버토 마르,2017-05-03,멕시코,142,17956,전체,애니메이션,2017,5,0
4337,퍼펙트,닐스 아르덴 오플레브,2013-09-25,미국,136,17916,19세이상,액션,2013,9,0
4338,당신자신과 당신의 것,홍상수,2016-11-10,한국,151,17884,19세이상,드라마,2016,11,0
4339,"불량소녀, 너를 응원해!",도이 노부히로,2016-09-21,일본,128,17875,12세이상,드라마,2016,9,0
4340,셰임,스티브 맥퀸,2013-05-09,영국,34,17827,19세이상,드라마,2013,5,0
4341,환상의 빛,고레에다 히로카즈,2016-07-07,일본,37,17823,15세이상,드라마,2016,7,0
4342,이별계약,오기환,2013-06-20,한국,63,17797,12세이상,멜로/로맨스,2013,6,0
4343,멜랑콜리아,라스 폰 트리에,2012-05-17,덴마크,21,17766,15세이상,드라마,2012,5,0
4344,추억의 검정고무신,송정율,2020-11-19,한국,215,17712,전체,애니메이션,2020,11,0
4345,나라타주,유키사다 이사오,2018-03-08,일본,146,17695,15세이상,멜로/로맨스,2018,3,0
4346,"괜찮아요, 미스터 브래드",마이크 화이트,2017-09-21,미국,135,17691,12세이상,드라마,2017,9,0
4347,경계선,알리 아바시,2019-10-24,스웨덴,48,17676,19세이상,판타지,2019,10,0
4348,로빈슨의 언더워터 어드벤처,막심 볼코브,2018-11-15,러시아,216,17674,전체,애니메이션,2018,11,0
4349,유랑지구,프란트 궈,2019-04-18,중국,178,17637,12세이상,SF,2019,4,0
4350,룩 앳 미,아그네스 자우이,2004-12-23,프랑스,0,17632,15세이상,드라마,2004,12,0
4351,스톤,조세래,2014-06-12,한국,148,17631,15세이상,액션,2014,6,0
4355,미라클 프롬 헤븐,패트리시아 리건,2016-05-25,미국,92,17625,전체,드라마,2016,5,0
4356,이 멋진 세계에 축복을! 붉은 전설,카나사키 타카오미,2020-02-06,일본,57,17607,15세이상,애니메이션,2020,2,0
4357,신과 인간,자비에 보브와,2012-01-19,프랑스,1,17588,15세이상,드라마,2012,1,0
4358,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,론 하워드,2016-10-19,영국,150,17563,12세이상,드라마,2016,10,0
4360,킨: 더 비기닝,조나단 베이커,2018-10-11,미국,167,17543,15세이상,미스터리,2018,10,0
4361,위험한 패밀리,뤽 베송,2014-01-22,미국,130,17539,19세이상,코미디,2014,1,0
4362,혼스,알렉산더 아야,2014-11-27,미국,166,17535,19세이상,판타지,2014,11,0
4364,인 더 하우스,프랑수아 오종,2013-07-04,프랑스,25,17529,15세이상,스릴러,2013,7,0
4365,꼬마 보트 토토: 타요 타요 배 타요,시멘 알스빅,2018-07-12,노르웨이,276,17463,전체,애니메이션,2018,7,0
4366,뚜르: 내 생애 최고의 49일,임정하,2017-02-01,한국,227,17449,12세이상,다큐멘터리,2017,2,0
4367,태양을 쏴라,김태식,2015-03-19,한국,156,17444,19세이상,멜로/로맨스,2015,3,0
4368,세상의 모든 계절,마이크 리,2011-03-24,미국,8,17423,12세이상,드라마,2011,3,0
4369,빌리어네어 보이즈클럽,제임스 콕스,2019-01-10,미국,166,17410,15세이상,드라마,2019,1,0
4370,터치,민병훈,2012-11-08,한국,95,17403,19세이상,드라마,2012,11,0
4371,밀리언 웨이즈,세스 맥팔레인,2014-06-12,미국,194,17373,19세이상,코미디,2014,6,0
4372,유아 낫 유,조지 C. 울프,2015-01-21,미국,103,17372,15세이상,드라마,2015,1,0
4373,두레소리,조정래,2012-05-10,한국,132,17362,12세이상,드라마,2012,5,0
4375,홀리 모터스,레오스 카락스,2013-04-04,프랑스,34,17348,19세이상,드라마,2013,4,0
4376,걸어도 걸어도,고레에다 히로카즈,2009-06-18,일본,6,17340,전체,드라마,2009,6,0
4377,도쿄 마블 초콜릿,시오타니 나오요시,2009-01-29,일본,24,17327,전체,애니메이션,2009,1,0
4378,스윗 프랑세즈,사울 딥,2015-12-03,영국,94,17324,15세이상,멜로/로맨스,2015,12,0
4379,양과자점 코안도르,후카가와 요시히로,2011-07-28,일본,9,17322,전체,드라마,2011,7,0
4380,엘리아스: 바다의 보물을 찾아라!,리스 오스볼,2014-10-23,노르웨이,199,17305,전체,애니메이션,2014,10,0
4381,사랑을 카피하다,압바스 키아로스타미,2011-05-05,프랑스,13,17303,15세이상,드라마,2011,5,0
4382,판타스틱 부니베어,정량,2018-03-15,중국,302,17290,전체,애니메이션,2018,3,0
4383,아인,모토히로 카츠유키,2018-02-28,일본,160,17287,15세이상,SF,2018,2,0
4384,앤젤스 셰어: 천사를 위한 위스키,켄 로치,2013-05-16,영국,21,17257,15세이상,코미디,2013,5,0
4385,싱글맨,톰 포드,2010-05-27,미국,25,17252,15세이상,드라마,2010,5,0
4386,삼거리극장,전계수,2006-11-23,한국,0,17216,15세이상,뮤지컬,2006,11,0
4387,영매-산자와 죽은자의 화해,박기복,2003-09-05,한국,0,17200,12세이상,다큐멘터리,2003,9,0
4388,어떤살인,안용훈,2015-10-28,한국,179,17190,19세이상,스릴러,2015,10,0
4389,바보야,강성옥,2011-04-21,한국,57,17097,전체,다큐멘터리,2011,4,0
4390,포 미니츠,크리스 크라우스,2007-10-25,독일,0,17088,12세이상,드라마,2007,10,0
4391,아웃 오브 타임,칼 프랭클린,2004-03-12,미국,0,17060,15세이상,스릴러,2004,3,0
4392,천국의 아이들 2 - 시험보는 날,골람 레자 라메자니,2005-11-17,이란,0,17022,전체,드라마,2005,11,0
4393,호비와 쿠우의 어드벤처 : 고래의 노래,히라바야시 이사무,2014-06-12,일본,54,17018,전체,애니메이션,2014,6,0
4394,길,정인봉,2017-05-11,한국,54,17014,12세이상,드라마,2017,5,0
4410,미스터 노바디,자코 반 도마엘,2013-10-24,캐나다,24,16969,15세이상,판타지,2013,10,0
4411,프렌즈: 둥지탈출,크리스찬 하스,2019-05-01,독일,184,16955,전체,애니메이션,2019,5,0
4412,프라이버시,존 크로울리,2014-03-20,영국,165,16936,15세이상,스릴러,2014,3,0
4416,파이널 포트레이트,스탠리 투치,2018-09-27,영국,55,16933,15세이상,드라마,2018,9,0
4417,월플라워,스티븐 크보스키,2013-04-11,미국,28,16912,15세이상,드라마,2013,4,0
4418,매직 아워,미타니 코키,2008-11-27,일본,15,16907,12세이상,코미디,2008,11,0
4419,하늘이 보내준 딸,비자이,2012-04-19,인도,107,16875,전체,가족,2012,4,0
4420,잉투기,엄태화,2013-11-14,한국,94,16859,15세이상,액션,2013,11,0
4422,명왕성,신수원,2013-07-11,한국,78,16828,15세이상,드라마,2013,7,0
4423,돌멩이,김정식,2020-10-15,한국,425,16790,12세이상,드라마,2020,10,0
4424,토니스토리2: 고철왕국의 친구들,토마스 보덴스타인,2018-06-13,독일,268,16685,전체,애니메이션,2018,6,0
4425,주문은 토끼입니까?? ~디어 마이 시스터~,하시모토 히로유키,2018-01-18,일본,84,16655,전체,애니메이션,2018,1,0
4426,여배우는 오늘도,문소리,2017-09-14,한국,46,16646,15세이상,드라마,2017,9,0
4427,산타바바라,조성규,2014-07-16,한국,101,16626,15세이상,멜로/로맨스,2014,7,0
4428,리버틴,로렌스 던 모어,2007-08-02,영국,0,16624,19세이상,드라마,2007,8,0
4429,호비와 동화나라 대모험,히라바야시 이사무,2016-12-08,일본,81,16620,전체,애니메이션,2016,12,0
4430,사마에게,와드 알-카팁,2020-01-23,영국,75,16591,15세이상,다큐멘터리,2020,1,0
4431,내 남자의 유통기한,도리스 되리에,2006-06-29,독일,0,16580,15세이상,멜로/로맨스,2006,6,0
4432,롤라,나빌 아유쉬,2009-01-15,프랑스,24,16578,12세이상,멜로/로맨스,2009,1,0
4434,헤이트 발렌타인데이,니아 발다로스,2010-02-04,미국,74,16566,12세이상,멜로/로맨스,2010,2,0
4435,오드토머스,스티븐 소머즈,2014-08-27,미국,165,16555,15세이상,액션,2014,8,0
4436,바니부기: 드래곤 에그를 찾아서,리양우,2018-09-12,중국,280,16505,전체,애니메이션,2018,9,0
4437,내 이야기!!,카와이 하야토,2018-04-12,일본,143,16467,12세이상,멜로/로맨스,2018,4,0
4438,아기곰 보보 구출 대작전,라스무스 A. 실버르센,2018-04-25,노르웨이,207,16447,전체,애니메이션,2018,4,0
